year,mgra_13,MoHub_carshare_flag,univ_flag,MLB_flag
2020,219,1,0,0
2020,220,1,0,0
2020,221,1,0,0
2020,435,1,0,0
2020,486,1,0,0
2020,1070,1,1,0
2020,1071,1,1,0
2020,1073,1,0,0
2020,1074,0,1,0
2020,1077,0,1,0
2020,1205,0,1,0
2020,1206,1,0,0
2020,1207,0,1,0
2020,1212,0,1,0
2020,1213,0,1,0
2020,1224,1,0,0
2020,2484,1,0,0
2020,2549,1,0,0
2020,2562,1,0,0
2020,2563,1,0,0
2020,2565,1,0,0
2020,2566,1,0,0
2020,2568,1,0,0
2020,2584,1,0,0
2020,2623,1,0,0
2020,2639,1,0,0
2020,2688,1,0,0
2020,2736,1,0,0
2020,2744,1,0,0
2020,2877,1,0,0
2020,2994,1,0,0
2020,3335,1,0,0
2020,3344,0,1,0
2020,3361,0,1,0
2020,3866,1,0,0
2020,3932,1,0,0
2020,3934,1,0,0
2020,4075,1,0,0
2020,4089,1,0,0
2020,4170,0,1,0
2020,4171,0,1,0
2020,4172,0,1,0
2020,4173,0,1,0
2020,4174,0,1,0
2020,4175,0,1,0
2020,4178,0,1,0
2020,4179,0,1,0
2020,4181,0,1,0
2020,4183,0,1,0
2020,4184,0,1,0
2020,4185,0,1,0
2020,4186,0,1,0
2020,5897,0,1,0
2020,6052,0,1,0
2020,6055,0,1,0
2020,6059,0,1,0
2020,19213,0,1,0
2020,19214,0,1,0
2020,19215,0,1,0
2035,1,1,0,0
2035,2,1,0,0
2035,3,1,0,0
2035,4,1,0,0
2035,5,1,0,0
2035,6,1,0,0
2035,7,1,0,0
2035,8,1,0,0
2035,9,1,0,0
2035,10,1,0,0
2035,11,1,0,0
2035,12,1,0,0
2035,13,1,0,0
2035,14,1,0,0
2035,15,1,0,0
2035,16,1,0,0
2035,17,1,0,0
2035,18,1,0,0
2035,19,1,0,0
2035,20,1,0,0
2035,21,1,0,0
2035,22,1,0,0
2035,23,1,0,0
2035,24,1,0,0
2035,25,1,0,0
2035,26,1,0,0
2035,27,1,0,0
2035,28,1,0,0
2035,29,1,0,0
2035,30,1,0,0
2035,31,1,0,0
2035,32,1,0,0
2035,33,1,0,0
2035,34,1,0,0
2035,35,1,0,0
2035,36,1,0,0
2035,37,1,0,0
2035,38,1,0,0
2035,39,1,0,0
2035,40,1,0,0
2035,41,1,0,0
2035,42,1,0,0
2035,43,1,0,0
2035,44,1,0,0
2035,45,1,0,0
2035,46,1,0,0
2035,47,1,0,0
2035,48,1,0,0
2035,49,1,0,0
2035,50,1,0,0
2035,51,1,0,0
2035,52,1,0,0
2035,53,1,0,0
2035,54,1,0,0
2035,55,1,0,0
2035,56,1,0,0
2035,57,1,0,0
2035,58,1,0,0
2035,59,1,0,0
2035,60,1,0,0
2035,61,1,0,0
2035,62,1,0,0
2035,63,1,0,0
2035,64,1,0,0
2035,65,1,0,0
2035,66,1,0,0
2035,67,1,0,0
2035,68,1,0,0
2035,69,1,0,0
2035,70,1,0,0
2035,71,1,0,0
2035,72,1,0,0
2035,73,1,0,0
2035,74,1,0,0
2035,75,1,0,0
2035,76,1,0,0
2035,77,1,0,0
2035,78,1,0,0
2035,79,1,0,0
2035,80,1,0,0
2035,81,1,0,0
2035,82,1,0,0
2035,83,1,0,0
2035,84,1,0,0
2035,85,1,0,0
2035,86,1,0,0
2035,87,1,0,0
2035,88,1,0,0
2035,89,1,0,0
2035,90,1,0,0
2035,91,1,0,0
2035,92,1,0,0
2035,93,1,0,0
2035,94,1,0,0
2035,95,1,0,0
2035,96,1,0,0
2035,97,1,0,0
2035,98,1,0,0
2035,99,1,0,0
2035,100,1,0,0
2035,101,1,0,0
2035,102,1,0,0
2035,103,1,0,0
2035,104,1,0,0
2035,105,1,0,0
2035,106,1,0,0
2035,107,1,0,0
2035,108,1,0,0
2035,109,1,0,0
2035,110,1,0,0
2035,111,1,0,0
2035,112,1,0,0
2035,113,1,0,0
2035,114,1,0,0
2035,115,1,0,0
2035,116,1,0,0
2035,117,1,0,0
2035,118,1,0,0
2035,119,1,0,0
2035,120,1,0,0
2035,121,1,0,0
2035,122,1,0,0
2035,123,1,0,0
2035,124,1,0,0
2035,125,1,0,0
2035,126,1,0,0
2035,127,1,0,0
2035,128,1,0,0
2035,129,1,0,0
2035,130,1,0,0
2035,131,1,0,0
2035,132,1,0,0
2035,133,1,0,0
2035,134,1,0,0
2035,135,1,0,0
2035,136,1,0,0
2035,137,1,0,0
2035,138,1,0,0
2035,139,1,0,0
2035,140,1,0,0
2035,141,1,0,0
2035,142,1,0,0
2035,143,1,0,0
2035,144,1,0,0
2035,145,1,0,0
2035,146,1,0,0
2035,147,1,0,0
2035,148,1,0,0
2035,149,1,0,0
2035,150,1,0,0
2035,151,1,0,0
2035,152,1,0,0
2035,153,1,0,0
2035,154,1,0,0
2035,155,1,0,0
2035,156,1,0,0
2035,157,1,0,0
2035,158,1,0,0
2035,159,1,0,0
2035,160,1,0,0
2035,161,1,0,0
2035,162,1,0,0
2035,163,1,0,0
2035,164,1,0,0
2035,165,1,0,0
2035,166,1,0,0
2035,167,1,0,0
2035,168,1,0,0
2035,169,1,0,0
2035,170,1,0,0
2035,171,1,0,0
2035,172,1,0,0
2035,173,1,0,0
2035,174,1,0,0
2035,175,1,0,0
2035,176,1,0,0
2035,177,1,0,0
2035,178,1,0,0
2035,179,1,0,0
2035,180,1,0,0
2035,181,1,0,0
2035,182,1,0,0
2035,183,1,0,0
2035,184,1,0,0
2035,185,1,0,0
2035,186,1,0,0
2035,187,1,0,0
2035,188,1,0,0
2035,189,1,0,0
2035,190,1,0,0
2035,191,1,0,0
2035,192,1,0,0
2035,193,1,0,0
2035,194,1,0,0
2035,195,1,0,0
2035,196,1,0,0
2035,197,1,0,0
2035,198,1,0,0
2035,199,1,0,0
2035,200,1,0,0
2035,201,1,0,0
2035,202,1,0,0
2035,203,1,0,0
2035,204,1,0,0
2035,205,1,0,0
2035,206,1,0,0
2035,207,1,0,0
2035,208,1,0,0
2035,209,1,0,0
2035,210,1,0,0
2035,211,1,0,0
2035,212,1,0,0
2035,213,1,0,0
2035,214,1,0,0
2035,215,1,0,0
2035,216,1,0,0
2035,217,1,0,0
2035,218,1,0,0
2035,219,1,0,0
2035,220,1,0,0
2035,221,1,0,0
2035,222,1,0,0
2035,223,1,0,0
2035,224,1,0,0
2035,225,1,0,0
2035,226,1,0,0
2035,227,1,0,0
2035,228,1,0,0
2035,229,1,0,0
2035,230,1,0,0
2035,231,1,0,0
2035,232,1,0,0
2035,233,1,0,0
2035,234,1,0,0
2035,235,1,0,0
2035,236,1,0,0
2035,237,1,0,0
2035,238,1,0,0
2035,239,1,0,0
2035,240,1,0,0
2035,241,1,0,0
2035,242,1,0,0
2035,243,1,0,0
2035,244,1,0,0
2035,245,1,0,0
2035,246,1,0,0
2035,247,1,0,0
2035,248,1,0,0
2035,249,1,0,0
2035,250,1,0,0
2035,251,1,0,0
2035,252,1,0,0
2035,253,1,0,0
2035,254,1,0,0
2035,255,1,0,0
2035,256,1,0,0
2035,257,1,0,0
2035,258,1,0,0
2035,259,1,0,0
2035,260,1,0,0
2035,261,1,0,0
2035,262,1,0,0
2035,263,1,0,0
2035,264,1,0,0
2035,265,1,0,0
2035,266,1,0,0
2035,267,1,0,0
2035,268,1,0,0
2035,269,1,0,0
2035,270,1,0,0
2035,271,1,0,0
2035,272,1,0,0
2035,273,1,0,0
2035,274,1,0,0
2035,275,1,0,0
2035,276,1,0,0
2035,277,1,0,0
2035,278,1,0,0
2035,279,1,0,0
2035,280,1,0,0
2035,281,1,0,0
2035,282,1,0,0
2035,283,1,0,0
2035,284,1,0,0
2035,285,1,0,0
2035,286,1,0,0
2035,287,1,0,0
2035,288,1,0,0
2035,289,1,0,0
2035,290,1,0,0
2035,291,1,0,0
2035,292,1,0,0
2035,293,1,0,0
2035,294,1,0,0
2035,295,1,0,0
2035,296,1,0,0
2035,297,1,0,0
2035,298,1,0,0
2035,299,1,0,0
2035,300,1,0,0
2035,301,1,0,0
2035,302,1,0,0
2035,303,1,0,0
2035,304,1,0,0
2035,305,1,0,0
2035,306,1,0,0
2035,307,1,0,0
2035,308,1,0,0
2035,309,1,0,0
2035,310,1,0,0
2035,311,1,0,0
2035,312,1,0,0
2035,313,1,0,0
2035,314,1,0,0
2035,315,1,0,0
2035,316,1,0,0
2035,317,1,0,0
2035,318,1,0,0
2035,319,1,0,0
2035,320,1,0,0
2035,321,1,0,0
2035,322,1,0,0
2035,323,1,0,0
2035,324,1,0,0
2035,325,1,0,0
2035,326,1,0,0
2035,327,1,0,0
2035,328,1,0,0
2035,329,1,0,0
2035,330,1,0,0
2035,331,1,0,0
2035,332,1,0,0
2035,333,1,0,0
2035,334,1,0,0
2035,335,1,0,0
2035,336,1,0,0
2035,337,1,0,0
2035,338,1,0,0
2035,339,1,0,0
2035,340,1,0,0
2035,341,1,0,0
2035,342,1,0,0
2035,343,1,0,0
2035,344,1,0,0
2035,345,1,0,0
2035,346,1,0,0
2035,347,1,0,0
2035,348,1,0,0
2035,349,1,0,0
2035,350,1,0,0
2035,351,1,0,0
2035,352,1,0,0
2035,353,1,0,0
2035,354,1,0,0
2035,355,1,0,0
2035,356,1,0,0
2035,357,1,0,0
2035,358,1,0,0
2035,359,1,0,0
2035,360,1,0,0
2035,361,1,0,0
2035,362,1,0,0
2035,363,1,0,0
2035,364,1,0,0
2035,365,1,0,0
2035,366,1,0,0
2035,367,1,0,0
2035,368,1,0,0
2035,369,1,0,0
2035,370,1,0,0
2035,371,1,0,0
2035,372,1,0,0
2035,373,1,0,0
2035,374,1,0,0
2035,375,1,0,0
2035,376,1,0,0
2035,377,1,0,0
2035,378,1,0,0
2035,379,1,0,0
2035,380,1,0,0
2035,381,1,0,0
2035,382,1,0,0
2035,383,1,0,0
2035,384,1,0,0
2035,385,1,0,0
2035,386,1,0,0
2035,387,1,0,0
2035,388,1,0,0
2035,389,1,0,0
2035,390,1,0,0
2035,391,1,0,0
2035,392,1,0,0
2035,393,1,0,0
2035,394,1,0,0
2035,395,1,0,0
2035,396,1,0,0
2035,397,1,0,0
2035,398,1,0,0
2035,399,1,0,0
2035,400,1,0,0
2035,401,1,0,0
2035,402,1,0,0
2035,403,1,0,0
2035,404,1,0,0
2035,405,1,0,0
2035,406,1,0,0
2035,407,1,0,0
2035,408,1,0,0
2035,409,1,0,0
2035,410,1,0,0
2035,411,1,0,0
2035,412,1,0,0
2035,413,1,0,0
2035,414,1,0,0
2035,415,1,0,0
2035,416,1,0,0
2035,417,1,0,0
2035,418,1,0,0
2035,419,1,0,0
2035,420,1,0,0
2035,421,1,0,0
2035,422,1,0,0
2035,423,1,0,0
2035,424,1,0,0
2035,425,1,0,0
2035,426,1,0,0
2035,427,1,0,0
2035,428,1,0,0
2035,429,1,0,0
2035,430,1,0,0
2035,431,1,0,0
2035,432,1,0,0
2035,433,1,0,0
2035,434,1,0,0
2035,435,1,0,0
2035,436,1,0,0
2035,437,1,0,0
2035,438,1,0,0
2035,439,1,0,0
2035,440,1,0,0
2035,441,1,0,0
2035,442,1,0,0
2035,443,1,0,0
2035,444,1,0,0
2035,445,1,0,0
2035,446,1,0,0
2035,447,1,0,0
2035,448,1,0,0
2035,449,1,0,0
2035,450,1,0,0
2035,451,1,0,0
2035,452,1,0,0
2035,453,1,0,0
2035,454,1,0,0
2035,455,1,0,0
2035,456,1,0,0
2035,457,1,0,0
2035,458,1,0,0
2035,459,1,0,0
2035,460,1,0,0
2035,461,1,0,0
2035,462,1,0,0
2035,463,1,0,0
2035,464,1,0,0
2035,465,1,0,0
2035,466,1,0,0
2035,467,1,0,0
2035,468,1,0,0
2035,469,1,0,0
2035,470,1,0,0
2035,471,1,0,0
2035,472,1,0,0
2035,473,1,0,0
2035,474,1,0,0
2035,475,1,0,0
2035,476,1,0,0
2035,477,1,0,0
2035,478,1,0,0
2035,479,1,0,0
2035,480,1,0,0
2035,481,1,0,0
2035,482,1,0,0
2035,483,1,0,0
2035,484,1,0,0
2035,485,1,0,0
2035,486,1,0,0
2035,487,1,0,0
2035,488,1,0,0
2035,489,1,0,0
2035,490,1,0,0
2035,491,1,0,0
2035,492,1,0,0
2035,493,1,0,0
2035,494,1,0,0
2035,495,1,0,0
2035,496,1,0,0
2035,497,1,0,0
2035,498,1,0,0
