route,conventional_fuel_pct_base,conventional_fuel_pct_scen,gasoline_fleet_proportion,cng_fleet_proportion
27,0.9,0.5,0.17,0.83
28,0.9,0.5,0.17,0.83
33,0.9,0.5,0.17,0.83
34,0.9,0.5,0.17,0.83
35,0.9,0.5,0.17,0.83
36,0.9,0.5,0.17,0.83
17,0.9,0.5,0.17,0.83
18,0.9,0.5,0.17,0.83
19,0.9,0.5,0.17,0.83
20,0.9,0.5,0.17,0.83
46,0.9,0.5,0.17,0.83
47,0.9,0.5,0.17,0.83
62,0.9,0.5,0.17,0.83
63,0.9,0.5,0.17,0.83
29,0.9,0.5,0.17,0.83
30,0.9,0.5,0.17,0.83
64,0.9,0.5,0.17,0.83
65,0.9,0.5,0.17,0.83
31,0.9,0.5,0.17,0.83
32,0.9,0.5,0.17,0.83
39,0.9,0.5,0.17,0.83
40,0.9,0.5,0.17,0.83
25,0.9,0.5,0.17,0.83
26,0.9,0.5,0.17,0.83
