Zip Code,Lat,Long,Lat Feet,Long Feet
12,40.2365,-120.941,4614040,5242780
16,35.4998,-118.42,2860240,5915410
17,37.2919,-118.858,3516320,5801410
18,34.5235,-118.946,2508530,5749400
19,40.5859,-120.153,4733070,5469010
20,37.5976,-119.274,3631240,5683160
22,39.3777,-123.543,4341970,4490080
26,36.2125,-118.329,3119060,5947750
28,40.0935,-120.405,4555230,5391160
29,39.5126,-121.059,4350370,5197370
31,40.3775,-121.131,4668190,5191830
32,34.763,-119.729,2602660,5516790
33,39.4771,-120.189,4327020,5443630
34,41.9422,-123.214,5275750,4646260
35,41.424,-121.798,5061720,5025250
37,40.0443,-122.872,4573090,4695800
38,40.1281,-121.728,4585100,5019460
39,40.2663,-123.226,4660770,4601740
40,38.0213,-119.561,3788480,5604910
44,38.4762,-119.753,3956470,5554980
47,39.7094,-122.808,4449380,4706140
48,39.4058,-122.843,4338980,4689160
49,41.5572,-123.769,5144830,4483520
50,41.0853,-123.501,4966310,4545540
51,38.9355,-120.319,4130260,5398730
52,38.6809,-120.324,4037240,5393930
54,41.1901,-123.888,5012450,4440820
55,41.0041,-123.291,4932550,4601780
57,33.9955,-119.944,2325770,5442160
58,37.755,-119.441,3690140,5636550
61,33.2581,-119.485,2052880,5572880
65,39.6559,-120.833,4399940,5263710
90001,33.9741,-118.25,2303890,5955360
90002,33.9489,-118.247,2294720,5956010
90003,33.9641,-118.274,2300410,5947990
90004,34.0762,-118.311,2341420,5937440
90005,34.0601,-118.31,2335530,5937810
90006,34.048,-118.294,2331050,5942470
90007,34.0279,-118.285,2323670,5945070
90008,34.0091,-118.348,2317200,5925830
90011,34.0075,-118.259,2316090,5952890
90012,34.0662,-118.239,2337350,5959370
90013,34.0443,-118.241,2329390,5958600
90014,34.0431,-118.252,2329030,5955110
90015,34.0396,-118.267,2327830,5950710
90016,34.0284,-118.354,2324270,5924130
90017,34.0531,-118.265,2332720,5951420
90018,34.0281,-118.318,2323940,5935200
90019,34.0486,-118.339,2331530,5928930
90020,34.0663,-118.31,2337810,5937690
90021,34.0292,-118.239,2323880,5959090
90022,34.0243,-118.156,2321640,5984280
90023,34.0217,-118.2,2320930,5970660
90024,34.0653,-118.435,2338200,5899930
90025,34.0451,-118.447,2330930,5896220
90026,34.0787,-118.264,2342050,5951880
90027,34.1251,-118.291,2359070,5944070
90028,34.0999,-118.327,2350120,5932900
90029,34.0898,-118.295,2346240,5942620
90031,34.08,-118.212,2342210,5967560
90032,34.0806,-118.179,2342230,5977650
90033,34.0502,-118.211,2331370,5967710
90034,34.0307,-118.4,2325380,5910400
90035,34.0519,-118.384,2332990,5915330
90036,34.0704,-118.35,2339520,5925670
90037,34.0028,-118.287,2314550,5944150
90038,34.089,-118.327,2346140,5932900
90039,34.1123,-118.261,2354250,5952880
90040,33.9935,-118.149,2310390,5986050
90041,34.1371,-118.207,2362970,5969360
90042,34.1151,-118.192,2354880,5973870
90043,33.9887,-118.335,2309720,5929620
90044,33.953,-118.292,2296470,5942580
