mgra,taz,msa
1,3331,0
2,3331,0
3,3358,0
4,3358,0
5,3358,0
6,3358,0
7,3407,0
8,3407,0
9,3407,0
10,3407,0
11,3407,0
12,3407,0
13,3407,0
14,3407,0
15,3407,0
16,3458,0
17,3458,0
18,3385,0
19,3385,0
20,3385,0
21,3331,0
22,3331,0
23,3331,0
24,3331,0
25,3331,0
26,3331,0
27,3379,0
28,3331,0
29,3331,0
30,3379,0
31,3379,0
32,3379,0
33,3379,0
34,3379,0
35,3379,0
36,3379,0
37,3379,0
38,3379,0
39,3379,0
40,3379,0
41,3379,0
42,3379,0
43,3457,0
44,3457,0
45,3458,0
46,3457,0
47,3458,0
48,3458,0
49,3458,0
50,3457,0
51,3458,0
52,3458,0
53,3458,0
54,3458,0
55,3458,0
56,3458,0
57,3458,0
58,3457,0
59,3457,0
60,3457,0
61,3458,0
62,3458,0
63,3458,0
64,3349,0
65,3349,0
66,3349,0
67,3371,0
68,3349,0
69,3349,0
70,3349,0
71,3430,0
72,3430,0
73,3430,0
74,3431,0
75,3448,0
76,3448,0
77,3448,0
78,3430,0
79,3430,0
80,3430,0
81,3431,0
82,3431,0
83,3448,0
84,3430,0
85,3448,0
86,3431,0
87,3430,0
88,3448,0
89,3430,0
90,3430,0
91,3431,0
92,3448,0
93,3448,0
94,3448,0
95,3371,0
96,3371,0
97,3504,0
98,3504,0
99,3549,0
100,3549,0
101,3549,0
102,3537,0
103,3593,0
104,3537,0
105,3593,0
106,3593,0
107,3537,0
108,3593,0
109,3593,0
110,3537,0
111,3470,0
112,3470,0
113,3470,0
114,3470,0
115,3527,0
116,3527,0
117,3527,0
118,3527,0
119,3527,0
120,3482,0
121,3482,0
122,3482,0
123,3482,0
124,3482,0
125,3482,0
126,3482,0
127,3482,0
128,3537,0
129,3538,0
130,3537,0
131,3538,0
132,3537,0
133,3565,0
134,3537,0
135,3565,0
136,3565,0
137,3565,0
138,3606,0
139,3565,0
140,3537,0
141,3565,0
142,3606,0
143,3606,0
144,3482,0
145,3537,0
146,3503,0
147,3503,0
148,3503,0
149,3510,0
150,3510,0
151,3503,0
152,3503,0
153,3503,0
154,3516,0
155,3516,0
156,3522,0
157,3522,0
158,3547,0
159,3551,0
160,3551,0
161,3547,0
162,3547,0
163,3515,0
164,3515,0
165,3515,0
166,3515,0
167,3515,0
168,3515,0
169,3573,0
170,3573,0
171,3573,0
172,3608,0
173,3608,0
174,3608,0
175,3608,0
176,3608,0
177,3515,0
178,3571,0
179,3571,0
180,3609,0
