Van ID,Employer,Van Type,Vehicle Capacity,Industry,Industry Type,Origin,Destination,Origin Zip,Destination Zip,Daily Round Trip Mileage
3,NASNI,2018 Volkswagen ATLAS - 7 Seats,7,Military,Military,South Suburban,Central,91913,92135,48
7,Solar Turbines,2019 Ford TRANS - 15 Seats,15,Manufacturing,Non-Federal,Riverside County,Central,92563,92101,142
14,NASNI,2019 Ford TRANS - 7 Seats,7,Military,Military,North County East,Central,92026,92135,72
16,NASNI,2018 Ford TRANS - 10 Seats,10,Military,Military,North County East,Central,92026,92135,110
18,NAB,2018 Volkswagen ATLAS - 7 Seats,7,Military,Military,East Suburban,Central,92071,92155,67
27,Solar Turbines,2019 Infiniti QX60 - 7 Seats,7,Manufacturing,Non-Federal,Riverside County,Central,91752,92101,140
32,Northrop Grumman,2016 Chevrolet Express 2500 - 8 Seats,8,"Professional, Scientific, & Technical Services",Non-Federal,Riverside County,North City,92592,92128,92
40,County of San Diego,2019 Chevrolet TRAV - 7 Seats,7,Government & Public Administration,Non-Federal,Riverside County,North City,92596,92123,116
46,NASNI,2018 Volkswagen ATLAS - 7 Seats,7,Military,Military,North City,Central,92129,92135,74
61,Navy - North Island,2020 Ford TRANS - 7 Seats,7,Military,Military,Riverside County,Central,92562,92135,136
62,Nassco,2020 Dodge DURA - 7 Seats,7,Manufacturing,Non-Federal,Riverside County,Central,92591,92113,124
78,NASNI,2018 Ford TRANS - 8 Seats,8,Military,Military,Riverside County,Central,92591,92135,153
126,NASNI,2020 Dodge DURA - 7 Seats,7,Military,Military,Riverside County,Central,92592,92135,130
172,NASNI,2020 Nissan PATH - 7 Seats,7,Military,Military,Orange County,Central,92683,92135,232
174,NASNI,2019 Chevrolet TRAV - 7 Seats,7,Military,Military,North City,Central,92064,92135,85
178,Cubic Corp.,2018 Ford TRANS - 10 Seats,10,"Professional, Scientific, & Technical Services",Non-Federal,Riverside County,North City,92592,92123,131
196,NASNI,2015 Chevrolet Express 2500 - 8 Seats,8,Military,Military,North City,Central,92127,92135,78
210,Navy-32nd St Naval Station,2019 Dodge DURA - 7 Seats,7,Military,Military,East Suburban,Central,92065,92135,78
218,NASNI,2015 Chevrolet Express 2500 - 7 Seats,7,Military,Military,North City,Central,92129,92135,48
226,Beckman Coulter,2020 Nissan PATH - 7 Seats,7,"Professional, Scientific, & Technical Services",Non-Federal,South Suburban,North County West,91911,92010,78
