mgra,corridor,weight
1,Central Mobility,1
2,Central Mobility,1
3,Central Mobility,1
4,Central Mobility,1
5,Central Mobility,1
6,Central Mobility,1
7,Central Mobility,1
8,Central Mobility,1
9,Central Mobility,1
10,Central Mobility,1
11,Central Mobility,1
12,Central Mobility,1
13,Central Mobility,1
14,Central Mobility,1
15,Central Mobility,1
16,Central Mobility,1
17,Central Mobility,1
18,Central Mobility,1
19,Central Mobility,1
20,Central Mobility,1
21,Central Mobility,1
22,Central Mobility,1
23,Central Mobility,1
24,Central Mobility,1
25,Central Mobility,1
26,Central Mobility,1
27,Central Mobility,1
28,Central Mobility,1
29,Central Mobility,1
30,Central Mobility,1
31,Central Mobility,1
32,Central Mobility,1
33,Central Mobility,1
34,Central Mobility,1
35,Central Mobility,1
36,Central Mobility,1
37,Central Mobility,1
38,Central Mobility,1
39,Central Mobility,1
40,Central Mobility,1
41,Central Mobility,1
42,Central Mobility,1
43,Central Mobility,1
44,Central Mobility,1
45,Central Mobility,1
46,Central Mobility,1
47,Central Mobility,1
48,Central Mobility,1
49,Central Mobility,1
50,Central Mobility,1
51,Central Mobility,1
52,Central Mobility,1
53,Central Mobility,1
54,Central Mobility,1
55,Central Mobility,1
56,Central Mobility,1
57,Central Mobility,1
58,Central Mobility,1
59,Central Mobility,1
60,Central Mobility,1
61,Central Mobility,1
62,Central Mobility,1
63,Central Mobility,1
64,Central Mobility,1
65,Central Mobility,1
66,Central Mobility,1
67,Central Mobility,1
68,Central Mobility,1
69,Central Mobility,1
70,Central Mobility,1
71,Central Mobility,1
72,Central Mobility,1
73,Central Mobility,1
74,Central Mobility,1
75,Central Mobility,1
76,Central Mobility,1
77,Central Mobility,1
78,Central Mobility,1
79,Central Mobility,1
80,Central Mobility,1
81,Central Mobility,1
82,Central Mobility,1
83,Central Mobility,1
84,Central Mobility,1
85,Central Mobility,1
86,Central Mobility,1
87,Central Mobility,1
88,Central Mobility,1
89,Central Mobility,1
90,Central Mobility,1
91,Central Mobility,1
92,Central Mobility,1
93,Central Mobility,1
94,Central Mobility,1
95,Central Mobility,1
96,Central Mobility,1
97,Central Mobility,1
98,Central Mobility,1
99,Central Mobility,1
100,Central Mobility,1
101,Central Mobility,1
102,Central Mobility,1
103,Central Mobility,1
104,Central Mobility,1
105,Central Mobility,1
106,Central Mobility,1
107,Central Mobility,1
108,Central Mobility,1
109,Central Mobility,1
110,Central Mobility,1
111,Central Mobility,1
112,Central Mobility,1
113,Central Mobility,1
114,Central Mobility,1
115,Central Mobility,1
116,Central Mobility,1
117,Central Mobility,1
118,Central Mobility,1
119,Central Mobility,1
120,Central Mobility,1
121,Central Mobility,1
122,Central Mobility,1
123,Central Mobility,1
124,Central Mobility,1
125,Central Mobility,1
126,Central Mobility,1
127,Central Mobility,1
128,Central Mobility,1
129,Central Mobility,1
130,Central Mobility,1
131,Central Mobility,1
132,Central Mobility,1
133,Central Mobility,1
134,Central Mobility,1
135,Central Mobility,1
136,Central Mobility,1
137,Central Mobility,1
138,Central Mobility,1
139,Central Mobility,1
140,Central Mobility,1
141,Central Mobility,1
142,Central Mobility,1
143,Central Mobility,1
144,Central Mobility,1
145,Central Mobility,1
146,Central Mobility,1
147,Central Mobility,1
148,Central Mobility,1
149,Central Mobility,1
150,Central Mobility,1
151,Central Mobility,1
152,Central Mobility,1
153,Central Mobility,1
154,Central Mobility,1
155,Central Mobility,1
156,Central Mobility,1
157,Central Mobility,1
158,Central Mobility,1
159,Central Mobility,1
160,Central Mobility,1
161,Central Mobility,1
162,Central Mobility,1
163,Central Mobility,1
164,Central Mobility,1
165,Central Mobility,1
166,Central Mobility,1
167,Central Mobility,1
168,Central Mobility,1
169,Central Mobility,1
170,Central Mobility,1
171,Central Mobility,1
172,Central Mobility,1
173,Central Mobility,1
174,Central Mobility,1
175,Central Mobility,1
176,Central Mobility,1
177,Central Mobility,1
178,Central Mobility,1
179,Central Mobility,1
180,Central Mobility,1
181,Central Mobility,1
182,Central Mobility,1
183,Central Mobility,1
184,Central Mobility,1
185,Central Mobility,1
186,Central Mobility,1
187,Central Mobility,1
188,Central Mobility,1
189,Central Mobility,1
190,Central Mobility,1
191,Central Mobility,1
192,Central Mobility,1
193,Central Mobility,1
194,Central Mobility,1
195,Central Mobility,1
196,Central Mobility,1
197,Central Mobility,1
198,Central Mobility,1
199,Central Mobility,1
200,Central Mobility,1
201,Central Mobility,1
202,Central Mobility,1
203,Central Mobility,1
204,Central Mobility,1
205,Central Mobility,1
206,Central Mobility,1
207,Central Mobility,1
208,Central Mobility,1
209,Central Mobility,1
210,Central Mobility,1
211,Central Mobility,1
212,Central Mobility,1
213,Central Mobility,1
214,Central Mobility,1
215,Central Mobility,1
216,Central Mobility,1
217,Central Mobility,1
218,Central Mobility,1
219,Central Mobility,1
220,Central Mobility,1
221,Central Mobility,1
222,Central Mobility,1
223,Central Mobility,1
224,Central Mobility,1
225,Central Mobility,1
226,Central Mobility,1
227,Central Mobility,1
228,Central Mobility,1
229,Central Mobility,1
230,Central Mobility,1
231,Central Mobility,1
348,Sorrento,1
349,Sorrento,1
350,Sorrento,1
351,Sorrento,1
352,Sorrento,1
353,Sorrento,1
354,Sorrento,1
355,Sorrento,1
356,Sorrento,1
357,Sorrento,1
358,Sorrento,1
359,Sorrento,1
360,Sorrento,1
361,Sorrento,1
362,Sorrento,1
363,Sorrento,1
364,Sorrento,1
365,Sorrento,1
366,Sorrento,1
367,Sorrento,1
368,Sorrento,1
369,Sorrento,1
370,Sorrento,1
371,Sorrento,1
372,Sorrento,1
373,Sorrento,1
374,Sorrento,1
375,Sorrento,1
376,Sorrento,1
377,Sorrento,1
378,Sorrento,1
379,Sorrento,1
380,Sorrento,1
381,Sorrento,1
382,Sorrento,1
383,Sorrento,1
384,Sorrento,1
385,Sorrento,1
386,Sorrento,1
387,Sorrento,1
388,Sorrento,1
389,Sorrento,1
390,Sorrento,1
391,Sorrento,1
392,Sorrento,1
393,Sorrento,1
394,Sorrento,1
395,Sorrento,1
396,Sorrento,1
397,Sorrento,1
398,Sorrento,1
399,Sorrento,1
400,Sorrento,1
401,Sorrento,1
402,Sorrento,1
403,Sorrento,1
404,Sorrento,1
405,Sorrento,1
406,Sorrento,1
407,Sorrento,1
408,Sorrento,1
409,Sorrento,1
410,Sorrento,1
411,Sorrento,1
412,Sorrento,1
413,Sorrento,1
414,Sorrento,1
415,Sorrento,1
416,Sorrento,1
417,Sorrento,1
418,Sorrento,1
419,Sorrento,1
420,Sorrento,1
421,Sorrento,1
422,Sorrento,1
423,Sorrento,1
424,Sorrento,1
425,Sorrento,1
426,Sorrento,1
427,Sorrento,1
428,Sorrento,1
429,Sorrento,1
430,Sorrento,1
431,Sorrento,1
432,Sorrento,1
433,Sorrento,1
434,Sorrento,1
435,Sorrento,1
436,Sorrento,1
437,Sorrento,1
438,Sorrento,1
439,Sorrento,1
440,Sorrento,1
441,Sorrento,1
442,Sorrento,1
443,Sorrento,1
444,Sorrento,1
445,Sorrento,1
446,Sorrento,1
447,Sorrento,1
448,Sorrento,1
449,Sorrento,1
450,Sorrento,1
451,Sorrento,1
452,Sorrento,1
453,Sorrento,1
454,Sorrento,1
455,Sorrento,1
456,Sorrento,1
457,Sorrento,1
458,Sorrento,1
459,Sorrento,1
460,Sorrento,1
461,Sorrento,1
462,Sorrento,1
463,Sorrento,1
464,Sorrento,1
465,Sorrento,1
466,Sorrento,1
467,Sorrento,1
468,Sorrento,1
469,Sorrento,1
470,Sorrento,1
471,Sorrento,1
472,Sorrento,1
473,Sorrento,1
474,Sorrento,1
475,Sorrento,1
476,Sorrento,1
477,Sorrento,1
478,Sorrento,1
479,Sorrento,1
480,Sorrento,1
481,Sorrento,1
482,Sorrento,1
483,Sorrento,1
484,Sorrento,1
485,Sorrento,1
486,Sorrento,1
487,Sorrento,1
488,Sorrento,1
489,Sorrento,1
490,Sorrento,1
491,Sorrento,1
492,Sorrento,1
493,Sorrento,1
494,Sorrento,1
495,Sorrento,1
496,Sorrento,1
497,Sorrento,1
498,Sorrento,1
499,Sorrento,1
