year,mgra_13,mgra_15,MoHub_carshare_flag,univ_flag,MLB_flag
2020,219,8578,1,0,0
2020,220,11154,1,0,0
2020,221,11155,1,0,0
2020,435,2602,1,0,0
2020,486,10719,1,0,0
2020,1070,7167,1,1,0
2020,1071,7246,1,1,0
2020,1073,8735,1,0,0
2020,1074,5171,0,1,0
2020,1077,7562,0,1,0
2020,1205,12070,0,1,0
2020,1206,7032,1,0,0
2020,1207,4496,0,1,0
2020,1212,5304,0,1,0
2020,1213,5304,0,1,0
2020,1224,10371,1,0,0
2020,2484,1367,1,0,0
2020,2549,131,1,0,0
2020,2562,872,1,0,0
2020,2563,1335,1,0,0
2020,2565,1369,1,0,0
2020,2566,2836,1,0,0
2020,2568,1050,1,0,0
2020,2584,10208,1,0,0
2020,2623,8527,1,0,0
2020,2639,7026,1,0,0
2020,2688,615,1,0,0
2020,2736,792,1,0,0
2020,2744,1900,1,0,0
2020,2877,7240,1,0,0
2020,2994,11244,1,0,0
2020,3335,11231,1,0,0
2020,3344,6223,0,1,0
2020,3361,24024,0,1,0
2020,3866,124,1,0,0
2020,3932,1258,1,0,0
2020,3934,3009,1,0,0
2020,4075,23822,1,0,0
2020,4089,1044,1,0,0
2020,4170,4276,0,1,0
2020,4171,8705,0,1,0
2020,4172,6997,0,1,0
2020,4173,11050,0,1,0
2020,4174,10937,0,1,0
2020,4175,5682,0,1,0
2020,4178,14010,0,1,0
2020,4179,5458,0,1,0
2020,4181,8573,0,1,0
2020,4183,444,0,1,0
2020,4184,8394,0,1,0
2020,4185,14009,0,1,0
2020,4186,5458,0,1,0
2020,5897,5049,0,1,0
2020,6052,8872,0,1,0
2020,6055,2476,0,1,0
2020,6059,23756,0,1,0
2020,19213,20261,0,1,0
2020,19214,20485,0,1,0
2020,19215,20486,0,1,0
2035,1,11219,1,0,0
2035,2,11220,1,0,0
2035,3,5760,1,0,0
2035,4,11224,1,0,0
2035,5,11221,1,0,0
2035,6,11223,1,0,0
2035,7,8560,1,0,0
2035,8,1673,1,0,0
2035,9,73,1,0,0
2035,10,3108,1,0,0
2035,11,3109,1,0,0
2035,12,195,1,0,0
2035,13,2599,1,0,0
2035,14,353,1,0,0
2035,15,366,1,0,0
2035,16,2443,1,0,0
2035,17,2443,1,0,0
2035,18,11227,1,0,0
2035,19,1181,1,0,0
2035,20,1181,1,0,0
2035,21,4304,1,0,0
2035,22,1989,1,0,0
2035,23,6196,1,0,0
2035,24,2997,1,0,0
2035,25,8807,1,0,0
2035,26,7321,1,0,0
2035,27,7628,1,0,0
2035,28,6775,1,0,0
2035,29,887,1,0,0
2035,30,2373,1,0,0
2035,31,11218,1,0,0
2035,32,2779,1,0,0
2035,33,5140,1,0,0
2035,34,11213,1,0,0
2035,35,6101,1,0,0
2035,36,11215,1,0,0
2035,37,11214,1,0,0
2035,38,11216,1,0,0
2035,39,130,1,0,0
2035,40,11214,1,0,0
2035,41,7839,1,0,0
2035,42,6546,1,0,0
2035,43,6368,1,0,0
2035,44,6368,1,0,0
2035,45,2327,1,0,0
2035,46,6368,1,0,0
2035,47,2327,1,0,0
2035,48,6067,1,0,0
2035,49,5337,1,0,0
2035,50,11204,1,0,0
2035,51,7150,1,0,0
2035,52,11205,1,0,0
2035,53,5337,1,0,0
2035,54,7150,1,0,0
2035,55,11174,1,0,0
2035,56,5337,1,0,0
2035,57,11174,1,0,0
2035,58,11206,1,0,0
2035,59,11206,1,0,0
2035,60,11204,1,0,0
2035,61,7046,1,0,0
2035,62,11203,1,0,0
2035,63,5337,1,0,0
2035,64,11159,1,0,0
2035,65,11160,1,0,0
2035,66,9064,1,0,0
2035,67,8346,1,0,0
2035,68,5274,1,0,0
2035,69,4966,1,0,0
2035,70,1297,1,0,0
2035,71,3381,1,0,0
2035,72,1938,1,0,0
2035,73,479,1,0,0
2035,74,9065,1,0,0
2035,75,3755,1,0,0
2035,76,9067,1,0,0
2035,77,7936,1,0,0
2035,78,699,1,0,0
2035,79,3695,1,0,0
2035,80,2526,1,0,0
2035,81,19,1,0,0
2035,82,586,1,0,0
2035,83,3576,1,0,0
2035,84,704,1,0,0
2035,85,1726,1,0,0
2035,86,1852,1,0,0
2035,87,7554,1,0,0
2035,88,1321,1,0,0
2035,89,1825,1,0,0
2035,90,6390,1,0,0
2035,91,8861,1,0,0
2035,92,12,1,0,0
2035,93,1321,1,0,0
2035,94,1726,1,0,0
2035,95,11157,1,0,0
2035,96,9067,1,0,0
2035,97,11162,1,0,0
2035,98,11163,1,0,0
2035,99,8779,1,0,0
2035,100,11164,1,0,0
2035,101,7146,1,0,0
2035,102,7605,1,0,0
2035,103,5761,1,0,0
2035,104,11169,1,0,0
2035,105,11168,1,0,0
2035,106,11167,1,0,0
2035,107,11166,1,0,0
2035,108,6882,1,0,0
2035,109,6882,1,0,0
2035,110,7606,1,0,0
2035,111,11173,1,0,0
2035,112,11172,1,0,0
2035,113,11171,1,0,0
2035,114,6698,1,0,0
2035,115,11174,1,0,0
2035,116,11179,1,0,0
2035,117,3559,1,0,0
2035,118,5683,1,0,0
2035,119,5683,1,0,0
2035,120,1430,1,0,0
2035,121,1666,1,0,0
2035,122,2294,1,0,0
2035,123,1453,1,0,0
2035,124,11148,1,0,0
2035,125,6466,1,0,0
2035,126,6328,1,0,0
2035,127,5334,1,0,0
2035,128,7016,1,0,0
2035,129,7799,1,0,0
2035,130,11161,1,0,0
2035,131,11147,1,0,0
2035,132,3435,1,0,0
2035,133,11146,1,0,0
2035,134,7016,1,0,0
2035,135,11145,1,0,0
2035,136,11144,1,0,0
2035,137,11142,1,0,0
2035,138,7008,1,0,0
2035,139,11141,1,0,0
2035,140,11140,1,0,0
2035,141,11142,1,0,0
2035,142,7008,1,0,0
2035,143,7008,1,0,0
2035,144,8264,1,0,0
2035,145,6473,1,0,0
2035,146,5710,1,0,0
2035,147,5710,1,0,0
2035,148,5710,1,0,0
2035,149,1717,1,0,0
2035,150,11150,1,0,0
2035,151,11149,1,0,0
2035,152,8791,1,0,0
2035,153,8791,1,0,0
2035,154,232,1,0,0
2035,155,1842,1,0,0
2035,156,2324,1,0,0
2035,157,3677,1,0,0
2035,158,2238,1,0,0
2035,159,7783,1,0,0
2035,160,2085,1,0,0
2035,161,2994,1,0,0
2035,162,3724,1,0,0
2035,163,1293,1,0,0
2035,164,2832,1,0,0
2035,165,2084,1,0,0
2035,166,3751,1,0,0
2035,167,2607,1,0,0
2035,168,86,1,0,0
2035,169,806,1,0,0
2035,170,2525,1,0,0
2035,171,3699,1,0,0
2035,172,940,1,0,0
2035,173,3072,1,0,0
2035,174,1434,1,0,0
2035,175,1467,1,0,0
2035,176,1237,1,0,0
2035,177,5126,1,0,0
2035,178,6625,1,0,0
2035,179,3243,1,0,0
2035,180,3693,1,0,0
2035,181,204,1,0,0
2035,182,898,1,0,0
2035,183,961,1,0,0
2035,184,7239,1,0,0
2035,185,10668,1,0,0
2035,186,10669,1,0,0
2035,187,10670,1,0,0
2035,188,7865,1,0,0
2035,189,10667,1,0,0
2035,190,2896,1,0,0
2035,191,10666,1,0,0
2035,192,5287,1,0,0
2035,193,5995,1,0,0
2035,194,10675,1,0,0
2035,195,5911,1,0,0
2035,196,6129,1,0,0
2035,197,10674,1,0,0
2035,198,962,1,0,0
2035,199,3032,1,0,0
2035,200,288,1,0,0
2035,201,7456,1,0,0
2035,202,4176,1,0,0
2035,203,10673,1,0,0
2035,204,4175,1,0,0
2035,205,5495,1,0,0
2035,206,2794,1,0,0
2035,207,2241,1,0,0
2035,208,2794,1,0,0
2035,209,3667,1,0,0
2035,210,2104,1,0,0
2035,211,5565,1,0,0
2035,212,8531,1,0,0
2035,213,10672,1,0,0
2035,214,5503,1,0,0
2035,215,1770,1,0,0
2035,216,6427,1,0,0
2035,217,10671,1,0,0
2035,218,11156,1,0,0
2035,219,8578,1,0,0
2035,220,11154,1,0,0
2035,221,11155,1,0,0
2035,222,7023,1,0,0
2035,223,775,1,0,0
2035,224,11153,1,0,0
2035,225,83,1,0,0
2035,226,1788,1,0,0
2035,227,11152,1,0,0
2035,228,6381,1,0,0
2035,229,5821,1,0,0
2035,230,3331,1,0,0
2035,231,11152,1,0,0
2035,232,5238,1,0,0
2035,233,5238,1,0,0
2035,234,9061,1,0,0
2035,235,10701,1,0,0
2035,236,3750,1,0,0
2035,237,5494,1,0,0
2035,238,10725,1,0,0
2035,239,7313,1,0,0
2035,240,4182,1,0,0
2035,241,1435,1,0,0
2035,242,1747,1,0,0
2035,243,145,1,0,0
2035,244,9069,1,0,0
2035,245,9069,1,0,0
2035,246,584,1,0,0
2035,247,1303,1,0,0
2035,248,3029,1,0,0
2035,249,1095,1,0,0
2035,250,4183,1,0,0
2035,251,2099,1,0,0
2035,252,8813,1,0,0
2035,253,2457,1,0,0
2035,254,3270,1,0,0
2035,255,2801,1,0,0
2035,256,1819,1,0,0
2035,257,2931,1,0,0
2035,258,1819,1,0,0
2035,259,8141,1,0,0
2035,260,10677,1,0,0
2035,261,2049,1,0,0
2035,262,2930,1,0,0
2035,263,8267,1,0,0
2035,264,9068,1,0,0
2035,265,904,1,0,0
2035,266,147,1,0,0
2035,267,74,1,0,0
2035,268,494,1,0,0
2035,269,1618,1,0,0
2035,270,10498,1,0,0
2035,271,3419,1,0,0
2035,272,651,1,0,0
2035,273,6726,1,0,0
2035,274,1627,1,0,0
2035,275,3640,1,0,0
2035,276,7480,1,0,0
2035,277,430,1,0,0
2035,278,720,1,0,0
2035,279,1111,1,0,0
2035,280,3450,1,0,0
2035,281,535,1,0,0
2035,282,5341,1,0,0
2035,283,4972,1,0,0
2035,284,1365,1,0,0
2035,285,1985,1,0,0
2035,286,1617,1,0,0
2035,287,8254,1,0,0
2035,288,8470,1,0,0
2035,289,8000,1,0,0
2035,290,10703,1,0,0
2035,291,10702,1,0,0
2035,292,10704,1,0,0
2035,293,8469,1,0,0
2035,294,3396,1,0,0
2035,295,3395,1,0,0
2035,296,767,1,0,0
2035,297,214,1,0,0
2035,298,6717,1,0,0
2035,299,3080,1,0,0
2035,300,3088,1,0,0
2035,301,8989,1,0,0
2035,302,5030,1,0,0
2035,303,8352,1,0,0
2035,304,2024,1,0,0
2035,305,6867,1,0,0
2035,306,5580,1,0,0
2035,307,2948,1,0,0
2035,308,8945,1,0,0
2035,309,1187,1,0,0
2035,310,4120,1,0,0
2035,311,6613,1,0,0
2035,312,7102,1,0,0
2035,313,7920,1,0,0
2035,314,713,1,0,0
2035,315,2571,1,0,0
2035,316,6801,1,0,0
2035,317,6104,1,0,0
2035,318,913,1,0,0
2035,319,6811,1,0,0
2035,320,5950,1,0,0
2035,321,5248,1,0,0
2035,322,8975,1,0,0
2035,323,2854,1,0,0
2035,324,1951,1,0,0
2035,325,1184,1,0,0
2035,326,7154,1,0,0
2035,327,7432,1,0,0
2035,328,1674,1,0,0
2035,329,2635,1,0,0
2035,330,3050,1,0,0
2035,331,3503,1,0,0
2035,332,2304,1,0,0
2035,333,3719,1,0,0
2035,334,1945,1,0,0
2035,335,2939,1,0,0
2035,336,7687,1,0,0
2035,337,781,1,0,0
2035,338,1791,1,0,0
2035,339,2761,1,0,0
2035,340,1708,1,0,0
2035,341,3713,1,0,0
2035,342,1455,1,0,0
2035,343,5779,1,0,0
2035,344,2833,1,0,0
2035,345,8670,1,0,0
2035,346,2349,1,0,0
2035,347,1690,1,0,0
2035,348,7732,1,0,0
2035,349,6127,1,0,0
2035,350,2726,1,0,0
2035,351,7987,1,0,0
2035,352,10497,1,0,0
2035,353,7197,1,0,0
2035,354,6146,1,0,0
2035,355,4075,1,0,0
2035,356,66,1,0,0
2035,357,5528,1,0,0
2035,358,7084,1,0,0
2035,359,457,1,0,0
2035,360,921,1,0,0
2035,361,1238,1,0,0
2035,362,2362,1,0,0
2035,363,1006,1,0,0
2035,364,6037,1,0,0
2035,365,575,1,0,0
2035,366,1916,1,0,0
2035,367,5435,1,0,0
2035,368,10724,1,0,0
2035,369,10723,1,0,0
2035,370,8770,1,0,0
2035,371,7290,1,0,0
2035,372,282,1,0,0
2035,373,1552,1,0,0
2035,374,8041,1,0,0
2035,375,97,1,0,0
2035,376,1931,1,0,0
2035,377,4076,1,0,0
2035,378,6160,1,0,0
2035,379,6091,1,0,0
2035,380,4078,1,0,0
2035,381,10500,1,0,0
2035,382,4077,1,0,0
2035,383,2157,1,0,0
2035,384,475,1,0,0
2035,385,2917,1,0,0
2035,386,1057,1,0,0
2035,387,7699,1,0,0
2035,388,7746,1,0,0
2035,389,7664,1,0,0
2035,390,2916,1,0,0
2035,391,1183,1,0,0
2035,392,5873,1,0,0
2035,393,5873,1,0,0
2035,394,2133,1,0,0
2035,395,2030,1,0,0
2035,396,1292,1,0,0
2035,397,1386,1,0,0
2035,398,2383,1,0,0
2035,399,2885,1,0,0
2035,400,4940,1,0,0
2035,401,3558,1,0,0
2035,402,2767,1,0,0
2035,403,7210,1,0,0
2035,404,3373,1,0,0
2035,405,5001,1,0,0
2035,406,2498,1,0,0
2035,407,2663,1,0,0
2035,408,1982,1,0,0
2035,409,10717,1,0,0
2035,410,1881,1,0,0
2035,411,1081,1,0,0
2035,412,3390,1,0,0
2035,413,10718,1,0,0
2035,414,1541,1,0,0
2035,415,1709,1,0,0
2035,416,6794,1,0,0
2035,417,5130,1,0,0
2035,418,8252,1,0,0
2035,419,362,1,0,0
2035,420,6745,1,0,0
2035,421,2749,1,0,0
2035,422,3351,1,0,0
2035,423,7186,1,0,0
2035,424,4070,1,0,0
2035,425,1291,1,0,0
2035,426,931,1,0,0
2035,427,863,1,0,0
2035,428,2490,1,0,0
2035,429,4071,1,0,0
2035,430,6343,1,0,0
2035,431,7701,1,0,0
2035,432,190,1,0,0
2035,433,1579,1,0,0
2035,434,2884,1,0,0
2035,435,2602,1,0,0
2035,436,1902,1,0,0
2035,437,1634,1,0,0
2035,438,374,1,0,0
2035,439,1172,1,0,0
2035,440,435,1,0,0
2035,441,456,1,0,0
2035,442,1969,1,0,0
2035,443,1120,1,0,0
2035,444,1873,1,0,0
2035,445,1002,1,0,0
2035,446,2773,1,0,0
2035,447,1236,1,0,0
2035,448,2820,1,0,0
2035,449,10560,1,0,0
2035,450,7500,1,0,0
2035,451,4119,1,0,0
2035,452,3226,1,0,0
2035,453,2211,1,0,0
2035,454,392,1,0,0
2035,455,2720,1,0,0
2035,456,6944,1,0,0
2035,457,1466,1,0,0
2035,458,518,1,0,0
2035,459,10714,1,0,0
2035,460,4186,1,0,0
2035,461,4188,1,0,0
2035,462,4189,1,0,0
2035,463,4187,1,0,0
2035,464,10715,1,0,0
2035,465,2665,1,0,0
2035,466,2300,1,0,0
2035,467,1401,1,0,0
2035,468,4196,1,0,0
2035,469,3615,1,0,0
2035,470,1851,1,0,0
2035,471,5031,1,0,0
2035,472,231,1,0,0
2035,473,2819,1,0,0
2035,474,5877,1,0,0
2035,475,687,1,0,0
2035,476,3556,1,0,0
2035,477,3033,1,0,0
2035,478,5031,1,0,0
2035,479,10720,1,0,0
2035,480,1235,1,0,0
2035,481,833,1,0,0
2035,482,7777,1,0,0
2035,483,993,1,0,0
2035,484,4195,1,0,0
2035,485,947,1,0,0
2035,486,10719,1,0,0
2035,487,721,1,0,0
2035,488,4191,1,0,0
2035,489,1933,1,0,0
2035,490,4192,1,0,0
2035,491,853,1,0,0
2035,492,6435,1,0,0
2035,493,137,1,0,0
2035,494,1850,1,0,0
2035,495,2839,1,0,0
2035,496,8156,1,0,0
2035,497,4079,1,0,0
2035,498,47,1,0,0
2035,499,7525,1,0,0
2035,500,3894,1,0,0
2035,501,10124,1,0,0
2035,502,7541,1,0,0
2035,503,5068,1,0,0
2035,504,3084,1,0,0
2035,505,8511,1,0,0
2035,506,5068,1,0,0
2035,507,8542,1,0,0
2035,508,10502,1,0,0
2035,509,4116,1,0,0
2035,510,2662,1,0,0
2035,511,2376,1,0,0
2035,512,8511,1,0,0
2035,513,7200,1,0,0
2035,514,6942,1,0,0
2035,515,3401,1,0,0
2035,516,6858,1,0,0
2035,517,312,1,0,0
2035,518,2688,1,0,0
2035,519,7012,1,0,0
2035,520,888,1,0,0
2035,521,3582,1,0,0
2035,522,1149,1,0,0
2035,523,1867,1,0,0
2035,524,8080,1,0,0
2035,525,6050,1,0,0
2035,526,8540,1,0,0
2035,527,3891,1,0,0
2035,528,3607,1,0,0
2035,529,740,1,0,0
2035,530,2715,1,0,0
2035,531,390,1,0,0
2035,532,8050,1,0,0
2035,533,5219,1,0,0
2035,534,10122,1,0,0
2035,535,10501,1,0,0
2035,536,880,1,0,0
2035,537,1462,1,0,0
2035,538,3130,1,0,0
2035,539,2264,1,0,0
2035,540,881,1,0,0
2035,541,2079,1,0,0
2035,542,3238,1,0,0
2035,543,1516,1,0,0
2035,544,5333,1,0,0
2035,545,3676,1,0,0
2035,546,7982,1,0,0
2035,547,6904,1,0,0
2035,548,10687,1,0,0
2035,549,6904,1,0,0
2035,550,10688,1,0,0
2035,551,1912,1,0,0
2035,552,2237,1,0,0
2035,553,3362,1,0,0
2035,554,2604,1,0,0
2035,555,2207,1,0,0
2035,556,2893,1,0,0
2035,557,29,1,0,0
2035,558,2842,1,0,0
2035,559,905,1,0,0
2035,560,1135,1,0,0
2035,561,2200,1,0,0
2035,562,3480,1,0,0
2035,563,1102,1,0,0
2035,564,2552,1,0,0
2035,565,2759,1,0,0
2035,566,10692,1,0,0
2035,567,8776,1,0,0
2035,568,4961,1,0,0
2035,569,2128,1,0,0
2035,570,10691,1,0,0
2035,571,1519,1,0,0
2035,572,10694,1,0,0
2035,573,10693,1,0,0
2035,574,7981,1,0,0
2035,575,8063,1,0,0
2035,576,6308,1,0,0
2035,577,4178,1,0,0
2035,578,5263,1,0,0
2035,579,8097,1,0,0
2035,580,10689,1,0,0
2035,581,8654,1,0,0
2035,582,7400,1,0,0
2035,583,1760,1,0,0
2035,584,1605,1,0,0
2035,585,6747,1,0,0
2035,586,8373,1,0,0
2035,587,6117,1,0,0
2035,588,3383,1,0,0
2035,589,7110,1,0,0
2035,590,7104,1,0,0
2035,591,6126,1,0,0
2035,592,1623,1,0,0
2035,593,3325,1,0,0
2035,594,11130,1,0,0
2035,595,11130,1,0,0
2035,596,11132,1,0,0
2035,597,11126,1,0,0
2035,598,5938,1,0,0
2035,599,11129,1,0,0
2035,600,11127,1,0,0
2035,601,8104,1,0,0
2035,602,8778,1,0,0
2035,603,6715,1,0,0
2035,604,11127,1,0,0
2035,605,10700,1,0,0
2035,606,11123,1,0,0
2035,607,11128,1,0,0
2035,608,11125,1,0,0
2035,609,7281,1,0,0
2035,610,8013,1,0,0
2035,611,7323,1,0,0
2035,612,11121,1,0,0
2035,613,11120,1,0,0
2035,614,5842,1,0,0
2035,615,12031,1,0,0
2035,616,3206,1,0,0
2035,617,5461,1,0,0
2035,618,3650,1,0,0
2035,619,11834,1,0,0
2035,620,7725,1,0,0
2035,621,11832,1,0,0
2035,622,11833,1,0,0
2035,623,7060,1,0,0
2035,624,11830,1,0,0
2035,625,2703,1,0,0
2035,626,1925,1,0,0
2035,627,1948,1,0,0
2035,628,2750,1,0,0
2035,629,5297,1,0,0
2035,630,6323,1,0,0
2035,631,5297,1,0,0
2035,632,6074,1,0,0
2035,633,10686,1,0,0
2035,634,3510,1,0,0
2035,635,1285,1,0,0
2035,636,5417,1,0,0
2035,637,8883,1,0,0
2035,638,7611,1,0,0
2035,639,11119,1,0,0
2035,640,7940,1,0,0
2035,641,10374,1,0,0
2035,642,6486,1,0,0
2035,643,8787,1,0,0
2035,644,8423,1,0,0
2035,645,730,1,0,0
2035,646,3649,1,0,0
2035,647,6226,1,0,0
2035,648,11118,1,0,0
2035,649,6226,1,0,0
2035,650,1441,1,0,0
2035,651,541,1,0,0
2035,652,38,1,0,0
