year,mgra_15,MoHub_carshare_flag,univ_flag,MLB_flag
2035,8578,1,0,0
2035,11154,1,0,0
2035,11155,1,0,0
2035,2602,1,0,0
2035,10719,1,0,0
2035,7167,0,1,0
2035,7246,0,1,0
2035,8735,0,0,0
2035,5171,0,1,0
2035,7562,0,1,0
2035,12070,0,1,0
2035,7032,0,0,0
2035,4496,0,1,0
2035,5304,0,1,0
2035,10371,0,0,0
2035,1367,1,0,0
2035,131,1,0,0
2035,872,1,0,0
2035,1335,1,0,0
2035,1369,1,0,0
2035,2836,1,0,0
2035,1050,1,0,0
2035,10208,1,0,0
2035,8527,1,0,0
2035,7026,1,0,0
2035,615,1,0,0
2035,792,1,0,0
2035,1900,1,0,0
2035,7240,1,0,0
2035,11244,1,0,0
2035,11231,0,0,0
2035,6223,0,1,0
2035,24024,0,1,0
2035,124,1,0,0
2035,1258,1,0,0
2035,3009,1,0,0
2035,23822,1,0,0
2035,1044,1,0,0
2035,4276,1,1,0
2035,8705,1,1,0
2035,6997,1,1,0
2035,11050,1,1,0
2035,10937,1,1,0
2035,5682,1,1,0
2035,14010,1,1,0
2035,5458,1,1,0
2035,8573,1,1,0
2035,444,1,1,0
2035,8394,1,1,0
2035,14009,1,1,0
2035,5049,1,1,0
2035,8872,1,1,0
2035,2476,1,1,0
2035,23756,1,1,0
2035,20261,1,1,0
2035,20485,1,1,0
2035,20486,1,1,0
2035,11219,1,0,0
2035,11220,1,0,0
2035,5760,1,0,0
2035,11224,1,0,0
2035,11221,1,0,0
2035,11223,1,0,0
2035,8560,1,0,0
2035,1673,1,0,0
2035,73,1,0,0
2035,3108,1,0,0
2035,3109,1,0,0
2035,195,1,0,0
2035,2599,1,0,0
2035,353,1,0,0
2035,366,1,0,0
2035,2443,1,0,0
2035,11227,1,0,0
2035,1181,1,0,0
2035,4304,1,0,0
2035,1989,1,0,0
2035,6196,1,0,0
2035,2997,1,0,0
2035,8807,1,0,0
2035,7321,1,0,0
2035,7628,1,0,0
2035,6775,1,0,0
2035,887,1,0,0
2035,2373,1,0,0
2035,11218,1,0,0
2035,2779,1,0,0
2035,5140,1,0,0
2035,11213,1,0,0
2035,6101,1,0,0
2035,11215,1,0,0
2035,11214,1,0,0
2035,11216,1,0,0
2035,130,1,0,0
2035,7839,1,0,0
2035,6546,1,0,0
2035,6368,1,0,0
2035,2327,1,0,0
2035,6067,1,0,0
2035,5337,1,0,0
2035,11204,1,0,0
2035,7150,1,0,0
2035,11205,1,0,0
2035,11174,1,0,0
2035,11206,1,0,0
2035,7046,1,0,0
2035,11203,1,0,0
2035,11159,1,0,0
2035,11160,1,0,0
2035,9064,1,0,0
2035,8346,1,0,0
2035,5274,1,0,0
2035,4966,1,0,0
2035,1297,1,0,0
2035,3381,1,0,0
2035,1938,1,0,0
2035,479,1,0,0
2035,9065,1,0,0
2035,3755,1,0,0
2035,9067,1,0,0
2035,7936,1,0,0
2035,699,1,0,0
2035,3695,1,0,0
2035,2526,1,0,0
2035,19,1,0,0
2035,586,1,0,0
2035,3576,1,0,0
2035,704,1,0,0
2035,1726,1,0,0
2035,1852,1,0,0
2035,7554,1,0,0
2035,1321,1,0,0
2035,1825,1,0,0
2035,6390,1,0,0
2035,8861,1,0,0
2035,12,1,0,0
2035,11157,1,0,0
2035,11162,1,0,0
2035,11163,1,0,0
2035,8779,1,0,0
2035,11164,1,0,0
2035,7146,1,0,0
2035,7605,1,0,0
2035,5761,1,0,0
2035,11169,1,0,0
2035,11168,1,0,0
2035,11167,1,0,0
2035,11166,1,0,0
2035,6882,1,0,0
2035,7606,1,0,0
2035,11173,1,0,0
2035,11172,1,0,0
2035,11171,1,0,0
2035,6698,1,0,0
2035,11179,1,0,0
2035,3559,1,0,0
2035,5683,1,0,0
2035,1430,1,0,0
2035,1666,1,0,0
2035,2294,1,0,0
2035,1453,1,0,0
2035,11148,1,0,0
2035,6466,1,0,0
2035,6328,1,0,0
2035,5334,1,0,0
2035,7016,1,0,0
2035,7799,1,0,0
2035,11161,1,0,0
2035,11147,1,0,0
2035,3435,1,0,0
2035,11146,1,0,0
2035,11145,1,0,0
2035,11144,1,0,0
2035,11142,1,0,0
2035,7008,1,0,0
2035,11141,1,0,0
2035,11140,1,0,0
2035,8264,1,0,0
2035,6473,1,0,0
2035,5710,1,0,0
2035,1717,1,0,0
2035,11150,1,0,0
2035,11149,1,0,0
2035,8791,1,0,0
2035,232,1,0,0
2035,1842,1,0,0
2035,2324,1,0,0
2035,3677,1,0,0
2035,2238,1,0,0
2035,7783,1,0,0
2035,2085,1,0,0
2035,2994,1,0,0
2035,3724,1,0,0
2035,1293,1,0,0
2035,2832,1,0,0
2035,2084,1,0,0
2035,3751,1,0,0
2035,2607,1,0,0
2035,86,1,0,0
2035,806,1,0,0
2035,2525,1,0,0
2035,3699,1,0,0
2035,940,1,0,0
2035,3072,1,0,0
2035,1434,1,0,0
2035,1467,1,0,0
2035,1237,1,0,0
2035,5126,1,0,0
2035,6625,1,0,0
2035,3243,1,0,0
2035,3693,1,0,0
2035,204,1,0,0
2035,898,1,0,0
2035,961,1,0,0
2035,7239,1,0,0
2035,10668,1,0,0
2035,10669,1,0,0
2035,10670,1,0,0
2035,7865,1,0,0
2035,10667,1,0,0
2035,2896,1,0,0
2035,10666,1,0,0
2035,5287,1,0,0
2035,5995,1,0,0
2035,10675,1,0,0
2035,5911,1,0,0
