mgra,taz,msa
1,3010,0
2,1797,0
3,4361,3
4,340,4
5,388,4
6,323,4
7,844,0
8,877,0
9,4305,2
10,2573,1
11,1506,0
12,1629,0
13,388,4
14,4175,2
15,3389,0
16,2129,0
17,2169,0
18,1527,0
19,1601,0
20,2201,0
21,422,4
22,3523,0
23,4021,3
24,2480,0
25,1733,0
26,920,0
27,4124,3
28,2099,0
29,2453,0
30,3015,1
31,2477,0
32,1132,0
33,1578,0
34,4315,3
35,4057,3
36,1901,0
37,3731,1
38,2538,0
39,2725,2
40,1571,0
41,278,4
42,1005,0
43,4052,3
44,651,1
45,3193,2
46,1136,0
47,2479,0
48,3652,3
49,1941,0
50,742,1
51,3272,0
52,2247,0
53,3610,0
54,4163,3
55,1870,0
56,2024,0
57,46,4
58,2292,0
59,1526,0
60,676,0
61,281,4
62,2972,0
63,720,0
64,1069,0
65,4496,3
66,2203,0
67,2602,0
68,4063,3
69,1578,0
70,376,1
71,3101,0
72,4080,3
73,1505,0
74,2121,0
75,565,1
76,4372,2
77,4080,3
78,33,4
79,4314,3
80,1609,1
81,1897,0
82,4156,3
83,1785,0
84,4086,3
85,1816,0
86,1932,0
87,3279,2
88,4166,3
89,2872,0
90,590,0
91,4087,1
92,774,1
93,1621,0
94,1658,0
95,920,0
96,673,0
97,2326,0
98,1425,1
99,1937,0
100,48,4
101,4185,3
102,1755,0
103,1074,0
104,3438,2
105,4727,3
106,4565,3
107,2885,2
108,3349,0
109,3208,0
110,1578,0
111,2640,0
112,2649,0
113,1179,0
114,2175,1
115,3091,2
116,755,1
117,2724,0
118,3313,0
119,2972,0
120,3440,2
121,4335,3
122,4079,3
123,3592,0
124,586,1
125,883,1
126,1558,1
127,3901,0
128,2574,0
129,588,0
130,1448,0
131,1963,0
132,1837,0
133,2002,0
134,2676,0
135,1654,0
136,895,0
137,2479,0
138,3993,3
139,1700,0
140,422,4
141,271,4
142,1526,0
143,1582,0
144,2338,0
145,2120,0
146,2628,0
147,2121,0
148,2892,2
149,4226,3
150,4052,3
151,3230,0
152,737,0
153,614,1
154,2483,1
155,4698,3
156,2471,2
157,2169,0
158,3676,3
159,1818,0
160,842,0
161,3737,3
162,1876,0
163,4211,3
164,765,1
165,48,4
166,3021,1
167,3188,1
168,3727,3
