Zip_Code,Lat_ft,Long_ft
12,4614040,5242780
16,2860240,5915410
17,3516320,5801410
18,2508530,5749400
19,4733070,5469010
20,3631240,5683160
22,4341970,4490080
26,3119060,5947750
28,4555230,5391160
29,4350370,5197370
31,4668190,5191830
32,2602660,5516790
33,4327020,5443630
34,5275750,4646260
35,5061720,5025250
37,4573090,4695800
38,4585100,5019460
39,4660770,4601740
40,3788480,5604910
44,3956470,5554980
47,4449380,4706140
48,4338980,4689160
49,5144830,4483520
50,4966310,4545540
51,4130260,5398730
52,4037240,5393930
54,5012450,4440820
55,4932550,4601780
57,2325770,5442160
58,3690140,5636550
61,2052880,5572880
65,4399940,5263710
90001,2303890,5955360
90002,2294720,5956010
90003,2300410,5947990
90004,2341420,5937440
90005,2335530,5937810
90006,2331050,5942470
90007,2323670,5945070
90008,2317200,5925830
90011,2316090,5952890
90012,2337350,5959370
90013,2329390,5958600
90014,2329030,5955110
90015,2327830,5950710
90016,2324270,5924130
90017,2332720,5951420
90018,2323940,5935200
90019,2331530,5928930
90020,2337810,5937690
90021,2323880,5959090
90022,2321640,5984280
90023,2320930,5970660
90024,2338200,5899930
90025,2330930,5896220
90026,2342050,5951880
90027,2359070,5944070
90028,2350120,5932900
90029,2346240,5942620
90031,2342210,5967560
90032,2342230,5977650
90033,2331370,5967710
90034,2325380,5910400
90035,2332990,5915330
90036,2339520,5925670
90037,2314550,5944150
90038,2346140,5932900
90039,2354250,5952880
90040,2310390,5986050
90041,2362970,5969360
90042,2354880,5973870
90043,2309720,5929620
90044,2296470,5942580
90045,2297170,5909320
90046,2353020,5921510
90047,2296910,5937350
90048,2340650,5918830
90049,2346420,5883970
90056,2311620,5917950
90057,2336110,5947680
90058,2313970,5966260
90059,2286200,5955010
90061,2284520,5947650
90062,2314900,5937690
90063,2329070,5975470
90064,2327910,5902970
90065,2353000,5962930
90066,2315130,5900590
90067,2335250,5906180
90068,2360390,5932560
90069,2348430,5916350
90071,2332420,5954190
90073,2336080,5894880
90077,2352770,5894020
90089,2321370,5944200
90094,2305580,5904710
90095,2340080,5897620
90201,2302180,5979310
90210,2351530,5906360
90211,2337710,5915630
90212,2336800,5910000
90220,2269780,5958810
90221,2271590,5968110
90222,2281460,5959230
90230,2312390,5910200
90232,2320710,5912620
90240,2296860,5995150
90241,2291140,5991890
90242,2284440,5987910
90245,2284070,5908900
90247,2274020,5940280
90248,2269120,5944240
90249,2277870,5934410
90250,2282770,5924880
90254,2265180,5910050
90255,2304770,5965320
90260,2273400,5923790
90262,2285250,5969870
90263,2330570,5816980
90265,2340940,5784610
90266,2274030,5909950
90270,2308830,5974320
90272,2344190,5866920
90274,2232900,5917770
90275,2224970,5919420
90277,2252480,5913640
90278,2267960,5918100
90280,2292760,5972680
90290,2352770,5846720
90291,2312510,5890810
90293,2296840,5898000
90301,2298120,5922250
90302,2304790,5923290
90303,2290630,5930470
90304,2291070,5922120
90305,2298640,5930600
90401,2320260,5881960
90402,2327640,5878980
90403,2325950,5882820
90404,2324420,5887910
90405,2318900,5889360
90501,2253170,5934820
90502,2253590,5941290
90503,2256450,5923540
90504,2266320,5930310
90505,2244320,5924300
90506,2271660,5929770
90601,2313020,6021790
90602,2301170,6021690
90603,2292140,6033420
90604,2286610,6026950
90605,2293630,6023820
90606,2303870,6011170
90620,2256100,6026840
90621,2266440,6032550
90623,2257760,6017890
90630,2245960,6018560
90631,2290540,6045620
90638,2276550,6027940
90639,2277770,6026190
90640,2317860,5997710
90650,2278540,6005530
90660,2308350,6003790
90670,2287390,6012040
90680,2239560,6031600
90701,2264190,6005970
90703,2264290,6009580
90704,2014160,5886760
90706,2271870,5991960
90710,2240160,5939130
90712,2257830,5985680
90713,2257230,5996140
90715,2254310,6006350
90716,2250730,6007940
90717,2238410,5933470
90720,2237910,6010640
90723,2275580,5980650
90731,2219390,5944910
90732,2219430,5935020
