Year,County,Employment
2022,Imperial County,71286
2022,Los Angeles County,5060775
2022,Orange County,1824473
2022,Riverside County,893348
2022,San Bernardino County,877178
2022,Ventura County,368678
2035,Imperial County,81798
2035,Los Angeles County,5383101
2035,Orange County,1941915
2035,Riverside County,1056697
2035,San Bernardino County,1035060
2035,Ventura County,383588
2050,Imperial County,90672
2050,Los Angeles County,5429638
2050,Orange County,2018954
2050,Riverside County,1185237
2050,San Bernardino County,1144814
2050,Ventura County,375914
