VAN_ID,Employer,Van_Type,Vehicle_Capacity,Industry,Industry_Type,O_MSA,O_Zip,D_MSA,D_Zip,Daily_Round_Trip_Mileage
16,NASNI,2020 Ford TRANS - 7 Seats,7,Military,Military,North County East,92026,Central,92135,90
18,NAB,2021 Volkswagen ATLAS - 7 Seats,7,Military,Military,East Suburban,92071,Central,92135,48
32,Northrop Grumman,2020 Chevrolet TRAV - 7 Seats,7,"Professional, Scientific, & Technical Services",Non_Military,Riverside County,92592,North City,92128,94
126,NASNI,2022 Chevrolet TRAV - 7 Seats,7,Military,Military,Riverside County,92592,Central,92135,130
172,NASNI,2021 Volkswagen ATLAS - 7 Seats,7,Military,Military,Orange County,92683,Central,92135,152
178,Cubic Corp.,2021 Ford EXPL - 7 Seats,7,"Professional, Scientific, & Technical Services",Non_Military,Riverside County,92592,North City,92123,110
210,NASNI,2019 Ford TRANS - 8 Seats,8,Military,Military,East Suburban,92065,Central,92135,78
226,Beckman Coulter,2022 Kia Sorento - 7 Seats,7,"Professional, Scientific, & Technical Services",Non_Military,South Suburban,91911,North County West,92010,78
336,Naval Base San Diego,2019 Ford TRANS - 8 Seats,8,Military,Military,Riverside County,92592,Central,92136,124
362,Camp Pendleton,2020 Nissan PATH - 7 Seats,7,Military,Military,Orange County,92679,North County West,92055,90
384,Camp Pendleton,2021 Ford TRANS - 7 Seats,7,Military,Military,Central,92114,North County West,92055,90
391,Camp Pendleton,2021 Ford EXPL - 7 Seats,7,Military,Military,Riverside County,92591,North County West,92055,70
394,NASNI,2020 Ford TRANS - 8 Seats,8,Military,Military,Riverside County,92592,Central,92135,134
431,US Border Patrol,2020 Nissan PATH - 7 Seats,7,Government & Public Administration,Non_Military,East Suburban,91942,East County,91962,84
467,Naval Medical Center,2021 Ford TRANS - 8 Seats,8,Military,Military,Riverside County,92584,Central,92134,154
478,US Border Patrol,2021 Ford TRANS - 10 Seats,10,Government & Public Administration,Non_Military,East Suburban,91914,East County,91906,104
479,MCRD,2021 Chevrolet TRAV - 7 Seats,7,Military,Military,Riverside County,92545,Central,92140,170
511,US Border Patrol,2021 Chevrolet TRAV - 7 Seats,7,Government & Public Administration,Non_Military,South Suburban,91910,East County,91905,100
523,Camp Pendleton,2020 Chevrolet TRAV - 7 Seats,7,Military,Military,Riverside County,92545,North County West,92055,78
525,Camp Pendleton,2019 Ford TRANS - 10 Seats,10,Military,Military,Riverside County,92591,North County West,92055,46
560,NASNI,2021 Ford TRANS - 8 Seats,8,Military,Military,Riverside County,92584,Central,92135,136
567,Solar Turbines,2019 Ford TRANS - 10 Seats,10,"Professional, Scientific, & Technical Services",Non_Military,Riverside County,92592,North City,92123,108
574,NAB,2021 Ford TRANS - 8 Seats,8,Military,Military,Riverside County,92592,Central,92155,126
576,US Border Patrol,2021 Ford TRANS - 10 Seats,10,Government & Public Administration,Non_Military,South Suburban,91913,East County,91905,104
584,Naval Medical Center,2020 Ford EXPL - 7 Seats,7,Military,Military,North County West,92056,Central,92134,86
609,Department of Defense,2018 Ford TRANS - 8 Seats,8,Military,Military,Riverside County,92562,North County East,92028,85
611,Naval Base Point Loma,2021 Ford EXPL - 7 Seats,7,Military,Military,North County East,92026,Central,92147,124
663,US Border Patrol,2020 Ford TRANS - 10 Seats,10,Government & Public Administration,Non_Military,Riverside County,92562,South Suburban,92154,150
693,MCAS Miramar,2020 Ford TRANS - 10 Seats,10,Military,Military,Riverside County,92592,North City,92145,90
719,Southwest Marine,2020 Nissan PATH - 7 Seats,7,Manufacturing,Non_Military,North County East,92069,Central,92113,70
766,UCSD,2020 Ford TRANS - 9 Seats,9,Education Services & Academic Institutions,Non_Military,Riverside County,92596,North City,92093,128
774,UCSD,2021 Ford TRANS - 7 Seats,7,Education Services & Academic Institutions,Non_Military,Riverside County,92592,North City,92093,130
820,US Border Patrol,2021 Ford TRANS - 14 Seats,14,Government & Public Administration,Non_Military,Central,92134,East County,91962,168
847,VA Medical Center,2022 Kia Sorento - 7 Seats,7,Government & Public Administration,Non_Military,Riverside County,92592,North City,92161,114
875,Naval Base San Diego,2022 Ford TRANS - 9 Seats,9,Military,Military,Riverside County,92592,Central,92136,148
896,US Border Patrol,2021 Volkswagen ATLAS - 7 Seats,7,Government & Public Administration,Non_Military,Riverside County,92592,South Suburban,92173,152
930,US Border Patrol,2020 Dodge DURA - 7 Seats,7,Government & Public Administration,Non_Military,East Suburban,92021,East County,91906,66
992,NASNI,2021 Chevrolet TRAV - 7 Seats,7,Military,Military,Riverside County,92584,Central,92135,150
1071,MCAS Miramar,2019 Nissan PATH - 7 Seats,7,Military,Military,Riverside County,92562,North City,92145,108
1075,Naval Medical Center,2022 Chevrolet TRAV - 7 Seats,7,Military,Military,Riverside County,92883,Central,92134,128
1079,Naval Medical Center,2022 Kia Sorento - 7 Seats,7,Military,Military,Riverside County,92591,Central,92134,132
1112,Solar Turbines,2021 Volkswagen ATLAS - 7 Seats,7,"Professional, Scientific, & Technical Services",Non_Military,Riverside County,92595,North City,92123,100
1120,Qualcomm,2019 Ford TRANS - 12 Seats,12,"Professional, Scientific, & Technical Services",Non_Military,Riverside County,92591,North City,92121,102
1125,Camp Pendleton,2021 Volkswagen ATLAS - 7 Seats,7,Military,Military,Riverside County,92571,North County West,92055,132
1205,BAE Systems,2020 Ford TRANS - 8 Seats,8,Manufacturing,Non_Military,Riverside County,92553,Central,92113,134
1242,Naval Base Point Loma,2020 Buick ENCL - 7 Seats,7,Military,Military,Riverside County,92592,Central,92147,136
1270,US Border Patrol,2021 Dodge DURA - 7 Seats,7,Government & Public Administration,Non_Military,East Suburban,92071,East County,91962,80
1293,East County Transitional Living,2018 Ford TRANS - 10 Seats,10,Food Services & Drinking Places,Non_Military,East Suburban,92021,Central,92101,70
1340,TSA,2022 Kia Sorento - 7 Seats,7,Government & Public Administration,Non_Military,North County East,92026,Central,92101,128
1360,Vista Courthouse - San Diego Superior Court,2020 Dodge DURA - 7 Seats,7,Government & Public Administration,Non_Military,Riverside County,92591,North County East,92081,56
1383,Camp Pendleton,2020 Nissan PATH - 7 Seats,7,Military,Military,North County West,92058,North County West,92055,30
1406,NASNI,2021 Ford TRANS - 7 Seats,7,Military,Military,Riverside County,92584,Central,92135,170
